qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
IPMCLH_00010	CC	0016020	membrane	0.919255266463	0.443914566598	1	1
IPMCLH_00020	MF	0004672	protein kinase activity	5.24732215666	0.637310136529	1	1
IPMCLH_00030	CC	0016020	membrane	0.913772092414	0.443498752067	1	1
IPMCLH_00035	MF	0015450	protein-transporting ATPase activity	10.3739893377	0.772370003492	1	98
IPMCLH_00035	BP	0017038	protein import	10.0615816492	0.765274346196	1	98
IPMCLH_00035	CC	0005886	plasma membrane	2.54980753999	0.536557055873	1	98
IPMCLH_00035	BP	0065002	intracellular protein transmembrane transport	8.67518145315	0.732367157476	2	98
IPMCLH_00035	CC	0005737	cytoplasm	1.53617065187	0.484664294515	3	98
IPMCLH_00035	BP	0006605	protein targeting	7.32625404911	0.697713622114	4	98
IPMCLH_00035	MF	0005524	ATP binding	3.05187827851	0.558358967555	11	98
IPMCLH_00035	MF	0004386	helicase activity	0.139140457627	0.358861830045	28	2
IPMCLH_00040	BP	0015031	protein transport	5.44386156308	0.643481863577	1	4
IPMCLH_00045	BP	0015031	protein transport	5.44895513784	0.643640317946	1	98
IPMCLH_00050	BP	0015031	protein transport	5.44894166831	0.643639899024	1	100
IPMCLH_00050	MF	0016740	transferase activity	0.190943654137	0.368148189083	1	9
IPMCLH_00055	BP	0065002	intracellular protein transmembrane transport	8.67509127044	0.732364934567	1	98
IPMCLH_00055	MF	0008320	protein transmembrane transporter activity	4.88087711615	0.625486108607	1	54
IPMCLH_00055	CC	0005886	plasma membrane	2.54978103351	0.536555850736	1	98
IPMCLH_00055	BP	0006605	protein targeting	7.32617788915	0.697711579326	3	98
IPMCLH_00055	MF	0005048	signal sequence binding	2.73841946614	0.544979435536	4	27
IPMCLH_00055	BP	0072599	establishment of protein localization to endoplasmic reticulum	4.68699250023	0.619050203375	17	54
IPMCLH_00055	BP	0090150	establishment of protein localization to membrane	4.26275346665	0.604486260271	21	54
IPMCLH_00060	MF	0016757	glycosyltransferase activity	5.46519723914	0.644145094236	1	94
IPMCLH_00060	BP	0009103	lipopolysaccharide biosynthetic process	0.0921902364954	0.348786851142	1	1
IPMCLH_00060	CC	0016020	membrane	0.0686042907571	0.342731395007	1	8
