qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
JBDJKK_00005	687.043976681	74.8916903337	100	44290	0.904489745152	0.0748500638784	8.10312091973e-05	Chromosomal replication initiator protein DnaA	DNAA
JBDJKK_00010	701.54075646	72.134223093	98	40803	0.934029162668	0.119641198613	0.000151240937467	Beta sliding clamp	DNAN
JBDJKK_00010	41.4058112293	1.47405681363	2	4881	0.615768017457	0.0173692173815	3.8767436363e-07	DNA polymerase III subunit beta	DNAN
JBDJKK_00015	493.789747039	5.17034715555	7	6006	1.25077811284	0.874044238121	0.000938391053197	DUF951 domain-containing protein	
JBDJKK_00020	775.366472631	79.2644711083	100	34857	1.02171045308	0.22935626295	0.000252233097853	Ribosome-binding ATPase YchF	YCHF
JBDJKK_00025	594.317331479	73.1808671893	100	59104	1.20095520874	0.704203619244	1.7897659039e-05	Peptidyl-tRNA hydrolase	PTH
JBDJKK_00030	726.661722029	74.2034298612	100	39575	1.12831906349	0.467272066786	8.96390797034e-06	Transcription-repair-coupling factor	MFD
JBDJKK_00035	597.001254605	41.4461041448	53	21724	0.920211842013	0.172466237267	0.000211720969041	RNA-binding S4 domain-containing protein	HSLR
JBDJKK_00035	445.641938552	17.98101049	23	7338	0.830540528656	0.117516093277	1.11899054233e-05	Heat shock protein 15	HSLR
JBDJKK_00040	3432.40631463	2.48749262765	3	3	1.96296252585	0.0	0.0	Putative cell-cycle protein, MesJ/Ycf62 family	DIVIC
JBDJKK_00040	420.853997268	3.21050221097	4	1108	0.799682912911	0.078000055906	6.42186816465e-05	Cell division protein DivIC	DIVIC
JBDJKK_00040	201.044668244	7.97963468736	10	29985	0.775302782527	0.197895449562	1.63480657943e-05	Septum formation initiator	DIVIC
JBDJKK_00045	150.370797027	1.52637793184	2	18543	1.17686058932	0.993796526055	5.58494636485e-06	Recombinase	
