qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
IPMCLH_00010	7.28748308001e-12	0.648834752793	1	566	0.854493740948	0.499024009369	0.00055079912734	PUL domain-containing protein	
IPMCLH_00020	797.168791753	0.769377668237	1	216	0.946655179213	0.0712974551523	5.6407266627e-07	Accessory Sec-dependent LPXTG-anchored adhesin (Fragment)	
IPMCLH_00020	31.5035166505	0.558774968197	1	72856	0.64082022207	0.0721109720485	1.1208855428e-08	non-specific serine/threonine protein kinase (Fragment)	
IPMCLH_00030	8.04009496761e-13	0.819360238192	1	188	0.678104688128	0.166225165563	0.000267518997955	Accessory secretory protein Asp4	
IPMCLH_00035	647.55589613	72.3890902696	100	49916	0.929432741181	0.151714237703	9.18373429513e-05	Protein translocase subunit SecA	SECA
IPMCLH_00040	1051.46697705	2.94509389085	4	748	1.10642596882	0.180817853136	0.000285791777692	Accessory Sec system protein Asp3	ASP3
IPMCLH_00045	5134.73239294	65.8661559801	100	792	2.71275324134	0.129733787921	0.00506882831302	Accessory Sec system protein Asp2	ASP2
IPMCLH_00050	4807.59823016	56.895292272	91	758	2.57704334774	0.120660985886	0.00268665759845	Accessory Sec system protein Asp1	ASP1
IPMCLH_00050	569.080912529	4.86177879714	8	395	0.825596304003	0.0150207140361	0.000148027591672	Glycosyltransferase Gtf1	ASP1
IPMCLH_00055	5866.7855364	65.4639793567	98	583	3.00730312904	0.133054676209	0.00349680429286	Accessory Sec system protein translocase subunit SecY2	SECY2
IPMCLH_00055	56.7217557291	1.28947232215	2	2417	0.657943692412	0.0853864162808	9.47455348723e-06	Preprotein translocase subunit SecY	SECY2
IPMCLH_00060	894.934011979	53.5242543387	82	18987	1.0372444449	0.168434947114	1.59070185754e-05	Glycosyl hydrolase family 8	
IPMCLH_00060	1053.93504993	3.54322476553	5	60	1.02355109406	0.0225285698313	0.00184660408453	Glycosyltransferase-stabilizing protein Gtf2	
IPMCLH_00060	208.273425913	2.01939555879	3	499	0.677085058791	0.00712393818375	5.94049194175e-08	General stress protein A	
IPMCLH_00060	61.556302276	0.663260904373	1	616	0.617072799327	0.00462316572843	2.90392561018e-08	Lipopolysaccharide 1,2-glucosyltransferase	
IPMCLH_00065	645.647966737	3.37296680207	5	499	0.869755036702	0.0405581862902	5.63676000113e-07	General stress protein A	GSPA
IPMCLH_00065	137.00982042	11.4589305875	18	127737	0.708659296701	0.120481740648	2.29944858487e-06	Glycosyl transferase	GSPA
IPMCLH_00065	72.2546950113	2.70941101804	4	25672	0.639555806619	0.0389694996064	4.6911640311e-06	Exopolyphosphatase	GSPA
IPMCLH_00070	1964.25827376	1.36339825003	2	11	1.40147564279	0.0486171532498	0.000262103261628	Capsular polysaccharide biosynthesis protein CpsJ	CPSJ
IPMCLH_00070	152.176564699	2.32165115537	3	5313	0.705830313707	0.103697508238	4.23049047512e-07	Glycosyltransferase, group 2 family protein	CPSJ
IPMCLH_00070	36.6684809892	5.37245317255	7	486160	0.681634115313	0.14522021395	4.76168511903e-07	Glycosyltransferase	CPSJ
