qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
JBDJKK_00005	MF	0003688	DNA replication origin binding	10.8325140807	0.78259363635	1	97
JBDJKK_00005	BP	0006275	regulation of DNA replication	10.1819300316	0.768020664479	1	97
JBDJKK_00005	CC	0005737	cytoplasm	1.53616300932	0.484663846847	1	97
JBDJKK_00005	BP	0006270	DNA replication initiation	9.48206558027	0.751813819862	2	97
JBDJKK_00005	MF	0016887	ATP hydrolysis activity	4.60074985039	0.616144687105	5	97
JBDJKK_00005	MF	0005524	ATP binding	3.05186309521	0.558358336569	12	97
JBDJKK_00010	CC	0009360	DNA polymerase III complex	9.45059443584	0.751071213806	1	98
JBDJKK_00010	MF	0003887	DNA-directed DNA polymerase activity	7.88950622849	0.712541605768	1	98
JBDJKK_00010	BP	0071897	DNA biosynthetic process	6.32213294833	0.669788731454	1	98
JBDJKK_00010	MF	0008408	3'-5' exonuclease activity	7.84029096236	0.711267544168	2	98
JBDJKK_00010	BP	0006260	DNA replication	5.88049255096	0.656806034699	2	98
JBDJKK_00010	CC	0005737	cytoplasm	1.50673712858	0.482931869068	8	98
JBDJKK_00010	MF	0003677	DNA binding	3.14490149044	0.562195793983	11	98
JBDJKK_00020	MF	0043023	ribosomal large subunit binding	10.1234822141	0.766688939758	1	100
JBDJKK_00020	MF	0005525	GTP binding	5.98812360935	0.660013734017	5	100
JBDJKK_00020	MF	0016887	ATP hydrolysis activity	4.60074788148	0.616144620463	8	100
JBDJKK_00020	MF	0005524	ATP binding	3.05186178915	0.558358282292	14	100
JBDJKK_00025	MF	0004045	aminoacyl-tRNA hydrolase activity	10.8824744064	0.783694408328	1	99
JBDJKK_00025	BP	0006412	translation	3.21524487854	0.565059628944	1	97
JBDJKK_00025	CC	0005737	cytoplasm	1.49526064266	0.48225179509	1	97
JBDJKK_00030	BP	0000716	transcription-coupled nucleotide-excision repair, DNA damage recognition	11.6887353073	0.801121266702	1	99
JBDJKK_00030	MF	0003684	damaged DNA binding	8.56306263199	0.729594565737	1	99
JBDJKK_00030	CC	0005737	cytoplasm	1.53617524018	0.484664563277	1	99
JBDJKK_00030	MF	0004386	helicase activity	6.37782862888	0.671393354311	2	98
JBDJKK_00030	MF	0005524	ATP binding	3.051887394	0.558359346375	6	99
JBDJKK_00030	BP	0006355	regulation of DNA-templated transcription	3.43557195976	0.573832497203	13	99
JBDJKK_00030	MF	0016787	hydrolase activity	2.25369215233	0.522678626923	18	99
JBDJKK_00035	MF	0003723	RNA binding	3.38261816913	0.571750321409	1	100
JBDJKK_00040	BP	0051301	cell division	6.14059875161	0.664508961956	1	17
JBDJKK_00040	CC	0016020	membrane	0.827426127226	0.43677822734	1	15
JBDJKK_00050	BP	0030655	beta-lactam antibiotic catabolic process	11.2603948827	0.79194055222	1	99
JBDJKK_00050	MF	0008800	beta-lactamase activity	10.9702210906	0.785621625696	1	99
JBDJKK_00050	MF	0004180	carboxypeptidase activity	0.268194752632	0.379895483226	6	4
JBDJKK_00050	BP	0046677	response to antibiotic	8.08004996997	0.71743722478	7	99
JBDJKK_00055	BP	0006400	tRNA modification	6.29262805885	0.668935815194	1	96
JBDJKK_00055	MF	0016879	ligase activity, forming carbon-nitrogen bonds	6.14059980346	0.664508992773	1	96
JBDJKK_00055	CC	0005737	cytoplasm	1.49834752966	0.482434973772	1	96
