# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	5996	6283	+	IPMCLH_00005		hypothetical protein	
contig_1	cds	6305	8761	+	IPMCLH_00010		hypothetical protein	
contig_1	cds	8702	9328	-	IPMCLH_00015		hypothetical protein	
contig_1	cds	9325	12567	-	IPMCLH_00020		hypothetical protein	PFAM:PF19258.2
contig_1	cds	12808	13032	-	IPMCLH_00025		Accessory secretory protein Asp5	RefSeq:WP_041817196.1, SO:0001217, UniParc:UPI00059FDC3A, UniRef:UniRef100_A0A0F3HAD5, UniRef:UniRef50_A0A3R9PWX5, UniRef:UniRef90_A0A0F3HAD5
contig_1	cds	13036	13215	-	IPMCLH_00030		Accessory secretory protein Asp4	RefSeq:WP_004182209.1, SO:0001217, UniParc:UPI0002145EC8, UniRef:UniRef100_A0A2A5QE44, UniRef:UniRef50_F8DKF9, UniRef:UniRef90_A0A2A5QE44
contig_1	cds	13229	15604	-	IPMCLH_00035	secA2	accessory Sec system translocase SecA2	RefSeq:WP_004182208.1, SO:0001217, UniParc:UPI000217A501, UniRef:UniRef100_F8HC00, UniRef:UniRef50_Q9AET6, UniRef:UniRef90_A0A2A5QE27
contig_1	cds	15597	16049	-	IPMCLH_00040	asp3	accessory Sec system protein Asp3	SO:0001217, UniParc:UPI0002250EC0, UniRef:UniRef100_A0A2X3YTI0, UniRef:UniRef50_J7TPE7, UniRef:UniRef90_A0A428B2C9
contig_1	cds	16046	17575	-	IPMCLH_00045	asp2	accessory Sec system protein Asp2	RefSeq:WP_070578465.1, SO:0001217, UniParc:UPI0008A25F47, UniRef:UniRef100_A0A412A6D5, UniRef:UniRef50_Q9AET8, UniRef:UniRef90_F8LHW3
contig_1	cds	17568	19133	-	IPMCLH_00050	asp1	accessory Sec system protein Asp1	RefSeq:WP_049529322.1, SO:0001217, UniParc:UPI00066A2EFF, UniRef:UniRef100_A0A412A6N3, UniRef:UniRef50_F8LHW2, UniRef:UniRef90_F8LHW2
contig_1	cds	19273	20493	-	IPMCLH_00055	secY2	accessory Sec system protein translocase subunit SecY2	GO:0005886, GO:0006605, GO:0065002, RefSeq:WP_049529321.1, SO:0001217, UniParc:UPI00066E5CE7, UniRef:UniRef100_A0A412A6L8, UniRef:UniRef50_Q97P79, UniRef:UniRef90_F8LHW1
contig_1	cds	20493	21734	-	IPMCLH_00060		Glycosyltransferase-stabilizing protein Gtf2	RefSeq:WP_049529320.1, SO:0001217, UniParc:UPI00066D0AD8, UniRef:UniRef100_A0A412A6M9, UniRef:UniRef50_A0A0H2URJ6, UniRef:UniRef90_A0A3R9HN00
contig_1	cds	21744	24203	-	IPMCLH_00065		Exopolyphosphatase	RefSeq:WP_045768821.1, SO:0001217, UniParc:UPI0005F3084E, UniRef:UniRef100_A0A412A6I9, UniRef:UniRef50_A0A0H2URB1, UniRef:UniRef90_A0A8B4HVL7
contig_1	cds	24196	25080	-	IPMCLH_00070		Glycosyltransferase, group 2 family protein	RefSeq:WP_004182200.1, SO:0001217, UniParc:UPI0002250EBA, UniRef:UniRef100_A0A0F3HLH8, UniRef:UniRef50_E7S945, UniRef:UniRef90_E7S945
contig_1	cds	25119	26390	-	IPMCLH_00075		Family 8 glycosyl transferase	SO:0001217, UniRef:UniRef50_A0A3R9Q5G3, UniRef:UniRef90_F8HBS8
contig_1	cds	26362	27372	-	IPMCLH_00080		Glucosyltransferase 3	RefSeq:WP_013990270.1, SO:0001217, UniParc:UPI0002145EBE, UniRef:UniRef100_F8LHV6, UniRef:UniRef50_F8LHV6, UniRef:UniRef90_F8LHV6
contig_1	cds	27385	28608	-	IPMCLH_00085		Glycosyltransferase	SO:0001217, UniRef:UniRef50_F8LHV5, UniRef:UniRef90_F8HBS6
contig_1	cds	28589	30091	-	IPMCLH_00090		Glycosyltransferase Gtf1	EC:2.4.1.52, KEGG:K00712, RefSeq:WP_045772248.1, SO:0001217, UniParc:UPI0005F34287, UniRef:UniRef100_UPI0005F34287, UniRef:UniRef50_A0A428B2B8, UniRef:UniRef90_A0A428B2B8
contig_1	cds	30152	31360	-	IPMCLH_00095		General stress protein A	RefSeq:WP_045768816.1, SO:0001217, UniParc:UPI0005F35497, UniRef:UniRef100_A0A3R9IV16, UniRef:UniRef50_A0A0X8JWP9, UniRef:UniRef90_A0A3R9IV16
contig_1	cds	31500	32375	-	IPMCLH_00100		Exopolysaccharide biosynthesis protein, acetyltransferase	RefSeq:WP_049529318.1, SO:0001217, UniParc:UPI00066AB7C5, UniRef:UniRef100_UPI00066AB7C5, UniRef:UniRef50_A0A111NBJ2, UniRef:UniRef90_A0A8B4HUL0
contig_1	cds	32377	34470	-	IPMCLH_00105		Glycosyltransferase	RefSeq:WP_061652295.1, SO:0001217, UniParc:UPI0007653316, UniRef:UniRef100_UPI0007653316, UniRef:UniRef50_A0A448ACU0, UniRef:UniRef90_A0A3R9IIN9
contig_1	cds	34595	35461	-	IPMCLH_00110		Chloramphenicol O-acetyltransferase	RefSeq:WP_004182191.1, SO:0001217, UniParc:UPI0002250EB1, UniRef:UniRef100_F8HBS1, UniRef:UniRef50_E7S939, UniRef:UniRef90_F8HBS1
contig_1	cds	35874	36161	-	IPMCLH_00115		Succinate dehydrogenase	SO:0001217, UniRef:UniRef50_A0A8B4HVK6, UniRef:UniRef90_A0A8B4HVK6
contig_1	cds	36458	39637	-	IPMCLH_00120		Exonuclease	SO:0001217, UniRef:UniRef50_F8LHU6
contig_1	cds	39634	40842	-	IPMCLH_00125	sbcD	DNA repair exonuclease SbcCD nuclease subunit	COG:COG0420, COG:L, SO:0001217, UniRef:UniRef50_A0A3S5E1I8, UniRef:UniRef90_A0A3S5E1I8
contig_1	cds	41030	44212	-	IPMCLH_00130		GRAM-POS-ANCHORING domain-containing protein	SO:0001217, UniRef:UniRef50_F8LHU4
contig_1	cds	44669	50788	-	IPMCLH_00135	zmpB	Zinc metalloprotease zmpB	SO:0001217, UniRef:UniRef50_A0A0T8EHJ7, UniRef:UniRef90_A0A448ADA0
contig_1	cds	51257	63529	-	IPMCLH_00140		GRAM-POS-ANCHORING domain-containing protein	SO:0001217, UniRef:UniRef50_E9DK82, UniRef:UniRef90_F8LHU2
contig_1	cds	65146	75459	-	IPMCLH_00145		GRAM-POS-ANCHORING domain-containing protein	SO:0001217, UniRef:UniRef50_F8LHU1, UniRef:UniRef90_F8LHU1
contig_1	cds	76650	78173	+	IPMCLH_00150	pyrR	Pyrimidine regulatory protein PyrR	RefSeq:WP_049529310.1, SO:0001217, UniParc:UPI00066D7A8D, UniRef:UniRef100_A0A412A8Z2, UniRef:UniRef50_F2QE80, UniRef:UniRef90_A0A3S5E1I9
contig_1	cds	78268	80136	-	IPMCLH_00155		ABC-type multidrug/protein/lipid transport system, ATPase component	RefSeq:WP_049554223.1, SO:0001217, UniParc:UPI00066C3A39, UniRef:UniRef100_A0A1W5ZE05, UniRef:UniRef50_A0A1C5VQX6, UniRef:UniRef90_A0A448ACW6
contig_1	cds	80126	81871	-	IPMCLH_00160	yfiB	ABC transporter ATP-binding protein yfiB	SO:0001217, UniRef:UniRef50_A0A174EEZ1, UniRef:UniRef90_A0A3S4LUA9
contig_1	cds	82679	84943	+	IPMCLH_00165	gshB	bifunctional glutamate--cysteine ligase GshA/glutathione synthetase GshB	COG:COG2918, COG:H, GO:0004357, GO:0004363, GO:0005524, GO:0046872, RefSeq:WP_049529307.1, SO:0001217, UniParc:UPI00066E7550, UniRef:UniRef100_UPI00066E7550, UniRef:UniRef50_Q8DW15, UniRef:UniRef90_Q5M3J8
contig_1	cds	85006	85644	-	IPMCLH_00170		DUF2163 domain-containing protein	RefSeq:WP_206283452.1, SO:0001217, UniParc:UPI00076506E6, UniRef:UniRef100_UPI00076506E6, UniRef:UniRef50_F8LHT6, UniRef:UniRef90_F8LHT6
contig_1	cds	85583	87112	-	IPMCLH_00175		DUF1310 domain-containing protein	RefSeq:WP_049529305.1, SO:0001217, UniParc:UPI00066DDB3F, UniRef:UniRef100_UPI00066DDB3F, UniRef:UniRef50_F8LHT5, UniRef:UniRef90_F8HBQ6
contig_1	cds	87218	87778	-	IPMCLH_00180		N-acetyltransferase domain-containing protein	RefSeq:WP_049529304.1, SO:0001217, UniParc:UPI00066B9F78, UniRef:UniRef100_UPI00066B9F78, UniRef:UniRef50_F0IM35, UniRef:UniRef90_T0ULT5
contig_1	cds	87999	90404	-	IPMCLH_00185	glgP	Alpha-1,4 glucan phosphorylase	RefSeq:WP_049529303.1, SO:0001217, UniParc:UPI00066C1EB2, UniRef:UniRef100_UPI00066C1EB2, UniRef:UniRef50_S0JBE6, UniRef:UniRef90_F8LHT3
contig_1	cds	90730	92160	-	IPMCLH_00190	glgA	glycogen synthase GlgA	RefSeq:WP_014632836.1, SO:0001217, UniParc:UPI000217A392, UniRef:UniRef100_F8HBQ3, UniRef:UniRef50_Q5FL65, UniRef:UniRef90_A0A074ISK7
contig_1	cds	92157	93293	-	IPMCLH_00195	glgD	glucose-1-phosphate adenylyltransferase subunit GlgD	RefSeq:WP_002886871.1, SO:0001217, UniParc:UPI000217A391, UniRef:UniRef100_A0A0F3HAN2, UniRef:UniRef50_A0A0E1ELE5, UniRef:UniRef90_A0A3S4QNP9
contig_1	cds	93283	94425	-	IPMCLH_00200	glgC	glucose-1-phosphate adenylyltransferase	COG:COG0448, COG:G, EC:2.7.7.27, GO:0005524, GO:0005978, GO:0008878, KEGG:K00975, RefSeq:WP_002886870.1, SO:0001217, UniParc:UPI000217A390, UniRef:UniRef100_A0A0F3HAA0, UniRef:UniRef50_Q8DT53, UniRef:UniRef90_A3CM02
contig_1	cds	94616	96496	-	IPMCLH_00205	glgB	1,4-alpha-glucan branching protein GlgB	EC:2.4.1.18, KEGG:K00700, RefSeq:WP_002886869.1, SO:0001217, UniParc:UPI0002145D42, UniRef:UniRef100_A0A0F3HAF2, UniRef:UniRef50_Q5FL68, UniRef:UniRef90_E9DK97
contig_1	cds	96666	98861	-	IPMCLH_00210	pulA	type I pullulanase	RefSeq:WP_045772234.1, SO:0001217, UniParc:UPI0005F31E33, UniRef:UniRef100_UPI0005F31E33, UniRef:UniRef50_A0A3R9HS01, UniRef:UniRef90_A0A3R9HS01
contig_1	cds	99076	101490	-	IPMCLH_00215	ftsK	DNA translocase FtsK	RefSeq:WP_014632834.1, SO:0001217, UniParc:UPI000217A38E, UniRef:UniRef100_F8HBP8, UniRef:UniRef50_A2RJB8, UniRef:UniRef90_V8LT16
contig_1	cds	101573	102571	-	IPMCLH_00220	trxB	Ferredoxin--NADP reductase	COG:COG0492, COG:O, EC:1.18.1.2, GO:0004324, GO:0050660, GO:0050661, KEGG:K21567, RefSeq:WP_002886866.1, SO:0001217, UniParc:UPI000217A2E0, UniRef:UniRef100_A0A0A1DVP3, UniRef:UniRef50_Q8DUN5, UniRef:UniRef90_Q5LYY3
contig_1	cds	102573	103292	-	IPMCLH_00225	trmD	tRNA (guanosine(37)-N1)-methyltransferase TrmD	COG:COG0336, COG:J, EC:2.1.1.228, GO:0005737, GO:0052906, RefSeq:WP_002886864.1, SO:0001217, UniParc:UPI0002145D3E, UniRef:UniRef100_A0A0A1DYQ5, UniRef:UniRef50_Q3K0F8, UniRef:UniRef90_Q5M3J5
contig_1	cds	103282	103800	-	IPMCLH_00230	rimM	ribosome maturation factor RimM	COG:COG0806, COG:J, GO:0005737, GO:0005840, GO:0006364, GO:0042274, GO:0043022, RefSeq:WP_002884411.1, SO:0001217, UniParc:UPI00019FCADE, UniRef:UniRef100_A0A0A1DYC0, UniRef:UniRef50_Q8DUN7, UniRef:UniRef90_Q5LYY1
contig_1	tRNA	104021	104092	-	IPMCLH_00235	trnE	tRNA-Glu(ttc)	SO:0000259
contig_1	tRNA	104122	104193	-	IPMCLH_00240	trnQ	tRNA-Gln(ttg)	SO:0000261
contig_1	cds	104495	105139	-	IPMCLH_00245	citB	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	COG:COG2197, COG:TK, RefSeq:WP_002884791.1, SO:0001217, UniParc:UPI00019FCADF, UniRef:UniRef100_A0A0F3HA76, UniRef:UniRef50_P0C0Z1, UniRef:UniRef90_A0A0M4H6S8
contig_1	cds	105129	106139	-	IPMCLH_00250	comP	Signal transduction histidine kinase ComP	COG:COG4585, COG:T, RefSeq:WP_013990239.1, SO:0001217, UniParc:UPI0002145D3C, UniRef:UniRef100_A0A0F3HDT0, UniRef:UniRef50_A0A380K7P6, UniRef:UniRef90_A0A0F3HDT0
contig_1	cds	106136	106834	-	IPMCLH_00255	liaF	Membrane protein LiaF, inhibitor of the LiaRS two-component envelope stress sensory system	COG:COG4758, COG:T, RefSeq:WP_002886862.1, SO:0001217, UniParc:UPI0002250DC1, UniRef:UniRef100_A0A0F3HAM1, UniRef:UniRef50_Q8DVK0, UniRef:UniRef90_F8HBP2
contig_1	cds	106998	107756	-	IPMCLH_00260	kcsA	pH-gated potassium channel KcsA	RefSeq:WP_049527642.1, SO:0001217, UniParc:UPI00066DF79C, UniRef:UniRef100_UPI00066DF79C, UniRef:UniRef50_A0A6N3C5F5, UniRef:UniRef90_A0A6N3C5F5
contig_1	cds	107902	109782	-	IPMCLH_00265	pknB	Stk1 family PASTA domain-containing Ser/Thr kinase	RefSeq:WP_049527645.1, SO:0001217, UniParc:UPI00066C4E92, UniRef:UniRef100_UPI00066C4E92, UniRef:UniRef50_Q8VQA0, UniRef:UniRef90_A0A0F3HAE1
contig_1	cds	109782	110546	-	IPMCLH_00270	pTC1	Stp1/IreP family PP2C-type Ser/Thr phosphatase	COG:COG0631, COG:T, SO:0001217, UniParc:UPI0002145D39, UniRef:UniRef100_F8LHR8, UniRef:UniRef50_Q8KY51, UniRef:UniRef90_F8LHR8
contig_1	cds	110563	111891	-	IPMCLH_00275	rsmB	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	COG:COG0144, COG:J, SO:0001217, UniRef:UniRef50_Q8DNR8, UniRef:UniRef90_A0A3D0CMJ0
